trType,posX1,posY1,posZ1,posX2,posY2,posZ2
2,112651,78154.2,39084.1,112649,78055.7,40396.4
2,112649,78055.7,40396.4,112645,77957.8,41696.4
2,112645,77957.8,41696.4,112635,77849.4,42996.3
2,112635,77849.4,42996.3,112624,77740.3,44296.3
2,112624,77740.3,44296.3,112611,77635.5,45596.3
2,112611,77635.5,45596.3,112599,77526.5,46896.3
2,112599,77526.5,46896.3,112590,77413.1,48194.5
2,112590,77413.1,48194.5,112580,77297.3,49494.5
2,112580,77297.3,49494.5,112568,77180.5,50812.7
2,112568,77180.5,50812.7,112557,77070,52112.7
2,112557,77070,52112.7,112540,76964.8,53412.7
2,112540,76964.8,53412.7,112526,76860.6,54712.7
2,112526,76860.6,54712.7,112513,76754.2,56011.7
2,112513,76754.2,56011.7,112496,76646,57311.7
2,112496,76646,57311.7,112464,76431.6,59895.4
2,112464,76431.6,59895.4,112450,76319.5,61195.6
2,112450,76319.5,61195.6,112431,76208.1,62495.5
2,112431,76208.1,62495.5,112406,76094.9,63795.4
2,112406,76094.9,63795.4,112384,75981.5,65095.4
2,112384,75981.5,65095.4,112365,75874,66370.7
2,112365,75874,66370.7,112323,75657.7,68970.7
2,112323,75657.7,68970.7,112305,75541.9,70270.6
2,112305,75541.9,70270.6,112265,75310.9,72853.6
2,112640,79344.7,24196.4,112427,79270.3,25883.7
2,112427,79270.3,25883.7,112237,79214.2,27396.4
2,112237,79214.2,27396.4,112073,79172.5,28694.1
2,112073,79172.5,28694.1,111897,79128.1,29980.8
2,111897,79128.1,29980.8,111723,79072.3,31278.3
2,111723,79072.3,31278.3,111564,79041,32578.3
2,111564,79041,32578.3,111429,78993.7,33878
2,111429,78993.7,33878,111359,78992,34618
2,112640,79344.7,24196.4,111759,79856.1,25883.7
2,111759,79856.1,25883.7,110966,80280.9,27396.4
2,110966,80280.9,27396.4,110292,80663.8,28694.1
2,110292,80663.8,28694.1,109627,81032.1,29980.8
2,109627,81032.1,29980.8,108971,81392.1,31278.3
2,108971,81392.1,31278.3,108294,81757.3,32578.3
2,108294,81757.3,32578.3,106888,82535.1,35178
2,106888,82535.1,35178,105487,83335.3,37784.3
2,105487,83335.3,37784.3,103367,84491.7,41696.4
2,103367,84491.7,41696.4,102653,84886,42996.3
2,102653,84886,42996.3,101970,85259.6,44296.3
2,101970,85259.6,44296.3,100548,86005.5,46896.3
2,100548,86005.5,46896.3,100040,86241.7,47861.3
2,112640,79344.7,24196.4,112493,79351.8,25883.7
2,112493,79351.8,25883.7,112217,79349.3,28694.1
2,112217,79349.3,28694.1,112097,79350,29980.8
2,112097,79350,29980.8,111968,79356.8,31278.3
2,111968,79356.8,31278.3,111842,79364.7,32578.3
2,111842,79364.7,32578.3,111718,79368.5,33878
2,111718,79368.5,33878,111591,79372.9,35178
2,111591,79372.9,35178,111459,79379.4,36477.8
2,111459,79379.4,36477.8,111331,79388.9,37784.3
2,111331,79388.9,37784.3,111211,79400.6,39084.1
2,111211,79400.6,39084.1,111090,79410.1,40396.4
2,111090,79410.1,40396.4,110968,79418.1,41696.4
2,110968,79418.1,41696.4,110847,79422.9,42996.3
2,110847,79422.9,42996.3,110726,79427.4,44296.3
2,110726,79427.4,44296.3,110613,79427.8,45596.3
2,110613,79427.8,45596.3,110498,79432.7,46896.3
2,110498,79432.7,46896.3,110386,79438.5,48194.5
2,110386,79438.5,48194.5,110273,79444.5,49494.5
2,110273,79444.5,49494.5,110047,79442.2,52112.7
2,110047,79442.2,52112.7,109932,79447.8,53412.7
2,109932,79447.8,53412.7,109817,79448.5,54712.7
2,109817,79448.5,54712.7,109699,79445.5,56011.7
2,109699,79445.5,56011.7,109582,79448.7,57311.7
2,109582,79448.7,57311.7,109468,79451.1,58611.7
2,109468,79451.1,58611.7,109355,79453.3,59895.4
2,109355,79453.3,59895.4,109244,79448.1,61195.6
2,109244,79448.1,61195.6,109132,79448.5,62495.5
2,109132,79448.5,62495.5,109020,79452.5,63795.4
2,109020,79452.5,63795.4,108790,79473.9,66370.7
2,108790,79473.9,66370.7,108682,79483.8,67670.7
2,108682,79483.8,67670.7,108574,79487.7,68970.7
2,108574,79487.7,68970.7,108466,79493.7,70270.6
2,108466,79493.7,70270.6,108358,79500.3,71553.5
2,108358,79500.3,71553.5,108258,79511.7,72853.6
2,108258,79511.7,72853.6,108142,79503.7,74153.6
2,111359,78992,34618,110921,79304.6,36477.8
2,110921,79304.6,36477.8,110585,79519.3,37784.3
2,110585,79519.3,37784.3,110272,79682.3,39084.1
2,110272,79682.3,39084.1,109873,79865.2,40396.4
2,109873,79865.2,40396.4,109465,80013,41696.4
2,109465,80013,41696.4,109101,80175,42996.3
2,109101,80175,42996.3,108727,80372.6,44296.3
2,108727,80372.6,44296.3,108286,80653,45596.3
2,108286,80653,45596.3,107847,80933.6,46896.3
2,107847,80933.6,46896.3,107395,81214.4,48194.5
2,107395,81214.4,48194.5,106977,81529,49494.5
2,106977,81529,49494.5,106538,82047.7,50812.7
2,106538,82047.7,50812.7,106064,82520.9,52112.7
2,106064,82520.9,52112.7,105658,82896.7,53412.7
2,105658,82896.7,53412.7,105284,83253.8,54712.7
2,105284,83253.8,54712.7,104832,83615.5,56011.7
2,104832,83615.5,56011.7,104342,83892.9,57311.7
2,104342,83892.9,57311.7,103831,84231.9,58611.7
2,103831,84231.9,58611.7,103399,84667,59895.4
2,100040,86241.7,47861.3,99196.1,86562.2,49494.5
2,99196.1,86562.2,49494.5,97863.4,87179.9,52112.7
2,97863.4,87179.9,52112.7,97180.7,87496.8,53412.7
2,97180.7,87496.8,53412.7,96519,87787,54712.7
2,96519,87787,54712.7,95846.2,88095.4,56011.7
2,95846.2,88095.4,56011.7,95176.7,88413.3,57311.7
2,95176.7,88413.3,57311.7,94497.4,88732,58611.7
2,94497.4,88732,58611.7,93823.7,89071.4,59895.4
2,93823.7,89071.4,59895.4,92424.6,89709.7,62495.5
2,92424.6,89709.7,62495.5,91756.4,90024.3,63795.4
2,91756.4,90024.3,63795.4,91089.4,90333.5,65095.4
2,6519.3,58625.6,28390.5,6768.73,58084.1,29850
2,6768.73,58084.1,29850,7201.3,57148,32431
2,7201.3,57148,32431,7582.77,56215.4,35005
2,7582.77,56215.4,35005,7778.94,55734.7,36288
2,7778.94,55734.7,36288,8377.29,54265.9,40126
2,8377.29,54265.9,40126,8791.24,53315.8,42710
2,8791.24,53315.8,42710,8988.1,52842.5,44000
2,8988.1,52842.5,44000,9397.36,51870.8,46574
2,9397.36,51870.8,46574,9607.4,51413.1,47861
2,9607.4,51413.1,47861,9812.07,50931.6,49145
2,9812.07,50931.6,49145,10024.1,50467.8,50424
2,10024.1,50467.8,50424,10232.7,50018.7,51705
2,10232.7,50018.7,51705,10432.3,49534.5,52988
2,10432.3,49534.5,52988,10632.7,49069.4,54271
2,10632.7,49069.4,54271,11221.7,47692.9,58128
2,11221.7,47692.9,58128,11426.9,47224.3,59416
2,11426.9,47224.3,59416,12356,44919.8,65846
2,12356,44919.8,65846,12555.1,44456.8,67129
2,12555.1,44456.8,67129,12949,43544.5,69690
2,12949,43544.5,69690,13126,43079.7,70972
2,13126,43079.7,70972,13318.2,42622.1,72259
8,6519.3,58625.6,28390.5,6422.4,58863.4,30080.7
